,apmitchell,crossy,dwieman,dwoloch,eugeneg,gcheng,glenbo_nj,gordenlam,gordenlam,huyehara,ivankollar,jbrumley71,johnarcher,kharden,kharden,mkoza,mrivers,npile,orangey17,rexjacobsen,rgarga,rmeyers,sackingswin,stevekus,todd_hagopian,,treauxjan,whimelsein,,,,,,,,791branko,athompson,dcanaan,guyvega,the_barnacle,vanmeerten,todd_hagopian,rrurban,adevkota,ahknaten,jnavin,crees,dwoloch,ist.martin,jerrypettit,moonrunreport1,timbo56,loosegun
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Mutual Funds,LDGF,LFF,,,S&P 500,,,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10STX,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
4285500.00000%,2.65934%,4.04975%,3.43987%,,2.55170%,,2.22376%,3.36754%,-0.52346%,-6.66839%,1.48271%,-4.13645%,3.01050%,,,-0.30948%,-0.84793%,-0.79726%,2.65468%,3.85767%,-2.09091%,2.12290%,3.04842%,-2.06913%,-2.51170%,,-1.11365%,1.68977%,1190175.78866%,,0.91000%,4285500.00000%,,,4285500.00000%,-9.15159%,0.08997%,0.68461%,3.35843%,,3.71855%,1.71175%,0.47356%,3.82468%,1.29610%,-1.29814%,-10.01368%,,0.37192%,1.46014%,2.84505%,1.65036%,-3.64959%
4288600.00000%,0.93717%,-5.07355%,3.19420%,,2.60904%,,10.40602%,5.04435%,-1.81234%,-7.27523%,1.15392%,-1.06735%,2.94763%,,,-1.47245%,-2.69305%,10.04001%,1.76903%,-2.88264%,-5.04768%,5.83386%,4.11520%,-2.51889%,-2.83721%,,-0.07542%,9.02452%,1297583.44075%,,1.16000%,4288600.00000%,,,4288600.00000%,-5.86913%,0.89824%,1.62273%,-5.57868%,,1.16325%,3.50061%,-5.00024%,0.27458%,-0.63790%,-3.97712%,-4.78262%,,0.03126%,-0.88268%,-1.16893%,1.85702%,-2.33247%
4291600.00000%,2.48190%,4.10682%,4.48222%,,0.32778%,,-1.36311%,-1.54682%,-1.11701%,10.20173%,-0.43273%,1.53706%,-0.07835%,,,3.08898%,1.47940%,-1.49306%,-1.01657%,1.56616%,4.49169%,0.05696%,0.53077%,0.71789%,8.91814%,,3.43644%,-0.19529%,1295049.39004%,,0.48000%,4291600.00000%,,,4291600.00000%,-2.26181%,4.61491%,-2.24101%,2.68000%,,-0.20261%,0.74903%,2.20511%,0.07160%,1.55775%,-2.29903%,-44.33610%,,-1.40428%,3.51779%,0.74604%,2.41952%,-0.10732%
4294700.00000%,4.18332%,-0.40244%,0.18375%,,2.73558%,,4.52395%,5.00022%,2.60891%,-2.34201%,2.51753%,-0.89113%,1.40774%,,,1.11650%,3.34744%,4.56179%,3.21192%,2.01850%,2.03050%,3.49786%,4.25794%,-2.93507%,6.11614%,,1.12016%,5.88725%,1371292.18526%,,1.93000%,4294700.00000%,,,4294700.00000%,18.86099%,0.11322%,0.27931%,1.83358%,,4.15213%,3.47085%,0.87856%,9.15062%,2.76736%,5.63112%,13.84009%,,4.58395%,-0.44778%,2.59783%,-1.29582%,3.82040%
4297800.00000%,2.83346%,2.29773%,-2.39291%,,2.22107%,1.64902%,1.45158%,1.96558%,0.18681%,-3.56484%,1.11957%,-5.50489%,2.28828%,,,4.44431%,-0.23060%,5.19810%,-0.95419%,1.23348%,-3.89475%,3.44644%,-0.00252%,0.37452%,1.49642%,,-0.12557%,2.73826%,1408841.73065%,,0.05000%,4297800.00000%,,,4297800.00000%,-11.24764%,1.36723%,1.75573%,-0.41904%,,4.44564%,3.92954%,-3.12289%,0.29366%,-2.41722%,2.56683%,0.48291%,,-6.37066%,0.07878%,0.67006%,1.68175%,0.39345%
4300800.00000%,0.94688%,7.68865%,0.73868%,,1.45786%,-7.21897%,0.99389%,1.23610%,1.20306%,6.37456%,-0.30513%,2.53810%,1.29706%,,,5.06911%,0.44233%,0.02366%,0.33082%,1.51946%,0.90155%,0.06336%,1.27637%,8.55570%,0.31840%,,4.69894%,4.13592%,1467110.29756%,,1.93000%,4300800.00000%,,,4300800.00000%,1.84316%,3.53305%,-0.96853%,0.65202%,,-0.02486%,6.03778%,5.93285%,0.61210%,5.95300%,-0.46294%,2.10845%,,1.05328%,6.01778%,4.61017%,-0.57990%,3.11566%
4303900.00000%,3.80410%,5.84714%,3.60004%,,3.16341%,-10.99047%,11.79241%,4.09738%,0.07189%,-13.87883%,-2.73821%,-3.98482%,4.12146%,3.50000%,,-6.75164%,-1.01394%,7.56854%,6.15169%,4.82283%,-2.66606%,4.70718%,4.55551%,3.20014%,-2.55558%,,0.00478%,9.25513%,1602893.26284%,,2.22000%,4303900.00000%,,,4303900.00000%,-,1.47967%,-,-2.02401%,,-3.58548%,2.19274%,-4.62763%,1.04876%,1.15577%,-0.83170%,-2.79983%,,5.42923%,2.24887%,5.70426%,5.20067%,0.37107%
4306900.00000%,0.16036%,7.47817%,4.52375%,,1.00251%,15.82679%,2.52709%,1.37977%,-3.10995%,0.70516%,1.25600%,1.75345%,0.80789%,0.56884%,,-5.68918%,6.38139%,-0.87801%,1.60804%,2.66824%,2.67160%,1.69542%,1.46717%,-0.21714%,-1.81290%,,5.16342%,-3.61603%,1544932.16159%,,2.81000%,4306900.00000%,,,4306900.00000%,-,-2.57636%,-,-,,-1.49635%,0.42056%,5.42824%,0.05121%,3.98511%,-0.37245%,7.67307%,,0.95274%,0.84256%,-0.35470%,4.41811%,1.91618%
4310000.00000%,-0.69681%,8.50064%,2.12224%,,-0.18503%,-1.53196%,-1.76085%,0.21665%,3.20507%,3.04275%,-0.08457%,4.20037%,-0.81694%,-0.73251%,1.89736%,-1.33073%,3.18246%,-4.37518%,0.89618%,-1.46703%,3.01342%,1.04637%,0.52090%,4.21991%,-2.87019%,,0.11495%,-2.35224%,1508591.64931%,,0.98000%,4310000.00000%,,,4310000.00000%,-,-,-,-,,-,0.56351%,1.34606%,0.97207%,-1.59961%,2.49637%,4.49286%,,-2.05265%,1.25949%,0.19089%,-2.25021%,11.73104%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
